"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 1 1 52 262 0.97310998496798 0.0268900150320202 0.481687591906258 FALSE ""
50 1 0.5 58 263 0.962063560926069 0.0379364390739312 0.408098564069012 FALSE ""
100 0.5 1 8 264 0.603517601082216 0.103517601082216 0.251502436772548 FALSE ""
50 0 1 43 265 -0.101381488338126 0.101381488338126 0.00741548918393123 FALSE ""
50 0.5 0.25 77 266 0.679197065936539 0.179197065936539 0.345968666875491 FALSE ""
50 0 0.25 2 267 -0.200376093369744 0.200376093369744 0.032340684460859 FALSE ""
50 0.5 0.5 26 268 0.532108026964003 0.0321080269640025 0.300149161598885 FALSE ""
50 0.5 0.25 41 269 0.21086540079263 0.28913459920737 0.052008071734781 FALSE ""
50 0 0.5 48 270 -0.110918214943117 0.110918214943117 0.0148235311637331 FALSE ""
250 0 1 13 271 0.0137166630024632 0.0137166630024632 0.00018325511197082 FALSE ""
100 0 0.5 20 272 -0.0325362153502009 0.0325362153502009 0.00102479028697926 FALSE ""
50 1 0.25 83 273 1.02804386582686 0.0280438658268629 0.561681052750113 FALSE ""
250 0 0.5 69 274 -0.0180228371031939 0.0180228371031939 0.000310522855964824 FALSE ""
100 0 1 64 275 -0.0189712204411295 0.0189712204411295 0.000327590760326 FALSE ""
100 0.5 0.5 88 276 0.322265077697838 0.177734922302162 0.0935795213094549 FALSE ""
250 0.5 1 40 277 0.513981368014381 0.013981368014381 0.200372605110326 FALSE ""
100 0.5 0.5 26 278 0.391776684219166 0.108223315780834 0.141512786543448 FALSE ""
250 0.5 0.25 8 279 0.46529229946288 0.0347077005371196 0.220744048211065 FALSE ""
100 1 1 72 280 0.729682689699037 0.270317310300963 0.341684073620822 FALSE ""
50 1 0.25 66 281 1.02704221288853 0.0270422128885337 0.486119160396098 FALSE ""
250 0 1 53 282 0.0843797573304367 0.0843797573304367 0.00695458520468043 FALSE ""
100 1 1 36 283 1.03667587822187 0.0366758782218692 0.562305517398496 FALSE ""
100 1 0.5 51 284 1.08641015474672 0.0864101547467231 0.557876515149634 FALSE ""
50 0.5 1 29 285 0.396839112614232 0.103160887385768 0.109759353102304 FALSE ""
100 0 0.5 75 286 0.0276101790570391 0.0276101790570391 0.000887050546576895 FALSE ""
50 0.5 1 41 287 0.353707152360115 0.146292847639885 0.0932067495043022 FALSE ""
250 0 0.25 92 288 0.0415611894208404 0.0415611894208404 0.00183036451211759 FALSE ""
100 0.5 1 16 289 0.420332785927945 0.0796672140720546 0.187533072444346 FALSE ""
50 0.5 1 40 290 0.923209785087995 0.423209785087995 0.493534273987948 FALSE ""
50 0 0.25 97 291 0.0991988654728039 0.0991988654728039 0.00574636527851511 FALSE ""
100 0 1 58 292 0.0362329228205637 0.0362329228205637 0.000986161073861995 FALSE ""
250 1 0.5 13 293 1.09523778751895 0.0952377875189472 0.546260753653364 FALSE ""
250 1 0.5 18 294 0.979091681118777 0.0209083188812226 0.537816299785863 FALSE ""
250 0.5 0.25 72 295 0.359759559544389 0.140240440455611 0.10959949959212 FALSE ""
250 0 1 82 296 -0.0420132388803617 0.0420132388803617 0.00207826427140511 FALSE ""
50 1 1 52 297 1.18867841155806 0.188678411558065 0.687451195171608 FALSE ""
250 0 0.25 17 298 -0.101278209324583 0.101278209324583 0.0110214075848359 FALSE ""
50 1 0.25 6 299 1.14549103368411 0.145491033684113 0.44858402544164 FALSE ""
250 0.5 1 88 300 0.403872753745299 0.0961272462547013 0.146773074903026 FALSE ""
100 1 1 42 301 1.14873511918736 0.148735119187358 0.643818432367011 FALSE ""
250 1 0.25 57 302 0.941249328165648 0.0587506718343518 0.500855878074225 FALSE ""
50 0 0.25 83 303 0.18982011859274 0.18982011859274 0.0634222718644853 FALSE ""
250 0.5 0.25 65 304 0.589362102225785 0.0893621022257846 0.26723592097556 FALSE ""
50 1 0.25 52 305 1.07228326392317 0.0722832639231659 0.554455090269131 FALSE ""
50 0 0.25 28 306 -0.0826064966719865 0.0826064966719865 0.00644515973374097 FALSE ""
50 0 1 4 307 0.0161187559830374 0.0161187559830374 0.000261133787991089 FALSE ""
250 1 1 31 308 0.983168318463139 0.0168316815368608 0.516410715420952 FALSE ""
100 1 0.5 38 309 0.926977265482286 0.0730227345177138 0.476404325917785 FALSE ""
250 1 0.25 9 310 1.01353338616718 0.0135333861671831 0.493502922136032 FALSE ""
250 0.5 1 91 311 0.613569813391932 0.113569813391932 0.302981821208511 FALSE ""
